ASIN,Product Title,Model/StyleNumber,Total Sales,Shipped COGS - % of Total,Shipped COGS - Prior Period,Shipped COGS - Last Year,Total Qty,Shipped Units - % of Total,Shipped Units - Prior Period,Shipped Units - Last Year,Customer Returns,Free Replacements,Date,Drop Ship Qty,Drop Ship Sales,Year,Month,Week,Category
B075858J28,"HomePop Geometric Shape Metal Accent Table, Gold",K7243,132.09,0.0022,,,3.0,0.0040999999999999995,,,0.0,0.0,2019-07-03,,,2019,7,27,Accent tables
B01M1LJK45,"HomePop Blake Backless Counter Barstool, 24-inch, Charcoal",K7446-F2105,130.0,0.0021,,,2.0,0.0027,,,0.0,0.0,2019-07-03,,,2019,7,27,Barstools
B06Y65XSXL,"HomePop Velvet Swoop Arm Accent Chair, Burgandy",K6499-B119,128.75,0.0021,,3.00%,1.0,0.0014000000000000002,,0.00%,0.0,0.0,2019-07-03,,,2019,7,27,Accent Chairs
B01DGBYT0G,"HomePop Round Leatherette Storage Ottoman with Lid, Cinnamon Red",K6862-E847,128.02,0.0021,,-58.80%,2.0,0.0027,,-60.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Ottomans
B01DGBYJQU,"HomePop Round Leatherette Storage Ottoman with Lid, Charcoal Grey",K6862-E844,128.02,0.0021,,105.99%,2.0,0.0027,,100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Ottomans
B07BYZRBWL,"HomePop Kate Tufted Swoop Arm Accent Chair, Olive Green",K7307-F2177,127.5,0.0021,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,
B07BYZF9NW,"HomePop Hourglass Metal Accent Table Mirror Top, Gold",K7246-J014,126.08,0.0021,,,2.0,0.0027,,,0.0,0.0,2019-07-03,,,2019,7,27,Accent tables
B07DPV18JS,"HomePop Mid Mod Oval Decorative Ottoman with Wood Legs, Ash Grey",K7478-F2232,126.0,0.0021,,,2.0,0.0027,,,0.0,0.0,2019-07-03,,,2019,7,27,Decorative Ottomans
B0757WW6RP,"HomePop Swoop Arm Accent Chair, Blue bird",K6499-A769,125.0,0.002,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Accent Chairs
B016YSU2SG,"HomePop Large Button Tufted Round Storage Ottoman, Berry",N8264-B119,122.0,0.002,,100.00%,2.0,0.0027,,100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Ottomans
B01LYC3HHC,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Grey Chevron",K6805-F1568,120.0,0.002,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,
B075R9PXQ3,"HomePop Deluxe Tufted Storage Bench with Hinged Lid, Espresso",N6196-E074,118.45,0.0019,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B073QLTSN3,"HomePop Square Storage Ottoman with Lift Off Lid, Cream",K7342-F2067,118.2,0.0019,,,2.0,0.0027,,,0.0,0.0,2019-07-03,,,2019,7,27,Storage Ottomans
B0095BBEJ6,"HomePop Parsons Classic Upholstered Accent Dining Chair with Nailheads, Set of 2, Burlap",K5506-F1211,116.0,0.0019,,0.00%,1.0,0.0014000000000000002,,0.00%,0.0,0.0,2019-07-03,,,2019,7,27,Dining Chairs
B0716RBS4R,"HomePop Youth Chaise Lounge  with White Wood Legs, Teal Velvet",K5618-B219,115.88,0.0019,,-65.67%,1.0,0.0014000000000000002,,-66.67%,0.0,0.0,2019-07-03,,,2019,7,27,Juvenile
B07BY7RSPP,"HomePop Ainsley Linen Button Tufted Storage Bench with Hinged Lid, Cream",K6138-B230,115.57,0.0019,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B07DGX4MC4,"HomePop Youth Chaise Lounge with White Wood Legs, Pink and White Medallion",K5618-F1538,113.3,0.0018,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,
B00IHZDCIM,"HomePop Parsons Classic Upholstered Accent Dining Chair with Nailheads, Set of 2, Sea Foam",K5506-F1210,113.3,0.0018,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Dining Chairs
B00FAQKILA,"HomePop Parsons Classic Button Tufted Accent Dining Chair, Set of 2,  Aqua",K6378-F1374,113.3,0.0018,,-65.67%,1.0,0.0014000000000000002,,-66.67%,0.0,0.0,2019-07-03,,,2019,7,27,Dining Chairs
B07H4C9YQY,"HomePop Youth Settee Storage Bench with Hinged Lid, Pink",K7767-F2335,112.16,0.0018,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Juvenile
B071NV53MH,"HomePop Large Upholstered Rectangular Storage Ottoman Bench with Hinged Lid, Navy Geometric",K6384NP-F2051,103.23,0.0017000000000000001,,-4.25%,1.0,0.0014000000000000002,,0.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B005TX6020,"HomePop K2380-E155 Bonded Leather Square Storage Ottoman Coffee Table with Wood Legs, Brown",K2380-E155,103.0,0.0017000000000000001,,-58.80%,2.0,0.0027,,-60.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B0758592KF,"HomePop Youth Chaise Lounge with White Wood Legs, Purple Velvet",K5618-B238,102.12,0.0017000000000000001,,-52.23%,1.0,0.0014000000000000002,,-50.00%,0.0,0.0,2019-07-03,,,2019,7,27,Juvenile
B07BZ1K5N9,"HomePop Parker Accent Chair with Pillow, Gray Medallion",K4638-A765,101.13,0.0016,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Accent Chairs
B005TX6084,"HomePop K2380-E169 Bonded Leather Square Storage Ottoman Coffee Table with Wood Legs, Black",K2380-E169,100.0,0.0016,,-33.33%,2.0,0.0027,,-33.33%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B01LY0HHRE,"HomePop Large Parsons Upholstered Accent Chair, Blue and Brown Abstract",N6337-F1337,97.85,0.0016,,,0.0,0.0,,,0.0,1.0,2019-07-03,,,2019,7,27,Accent Chairs
B00MT9IQ2E,"HomePop Kinen Oversized Storage Bench with Nail Head Trim, Tan Linen",K6159-F1399,97.85,0.0016,,-65.67%,1.0,0.0014000000000000002,,-66.67%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B00SNE1A0Y,"HomePop K6863-F1538 Juvenile Medallion Print Storage Bench Childrens Furniture, Pink",K6863-F1538,84.46,0.0014000000000000002,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,
B0757WR64L,"HomePop Diva Youth Velvet Decorative Storage Bench with White Wood Legs, Pink",K7579-B220,83.69,0.0014000000000000002,,,0.0,0.0,,,0.0,1.0,2019-07-03,,,2019,7,27,Juvenile
B07DPRCDW5,"HomePop Upholstered Round Storage Ottoman with LId, Bold Paisley",K6427-A727,75.0,0.0012,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Storage Ottomans
B06ZYXMN83,"HomePop Parsons Classic Upholstered Accent Dining Chair, Single Pack, Yellow",K6805-F2091,64.38,0.001,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Dining Chairs
B07H41ZBFT,"HomePop Youth Button Tufted Velvet Ottoman, Pink",K7769-B253,64.09,0.001,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,
B06ZZS6N6T,"HomePop Parsons Classic Upholstered Accent Dining Chair,  Single Pack, Red Damask",K1136-F765,62.5,0.001,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Dining Chairs
B00HRX0FJ4,"HomePop Upholstered Round Storage Ottoman with Lid, Black and White Medallion",K6427-F1604,61.0,0.001,,0.00%,1.0,0.0014000000000000002,,0.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Ottomans
B00J8VMOCE,"HomePop Cinched Square Storage Ottoman with Nailhead Trim, Tan",K4710-F696,58.75,0.001,,-80.00%,1.0,0.0014000000000000002,,-80.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Ottomans
B07DQ96Z5W,"HomePop Round Metal Base Decorative Ottoman, Gray",K7399-B254,51.5,0.0008,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Decorative Ottomans
B079SCK5W9,"HomePop Modern Square Metal X-Base Ottoman, Onyx",K7401-F2267,51.5,0.0008,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,Decorative Ottomans
B07D572WFM,"HomePop Youth Upholstered Swoop Arm Accent Chair,  Jungle Print",K6465-A841,38.25,0.0006,,,1.0,0.0014000000000000002,,,0.0,0.0,2019-07-03,,,2019,7,27,
B07F63HDP5,"Spatial Order Kaufmann Modern Large Storage Bench, Ash Gray",K8086-F2232,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B07CJL1ZYG,"HomePop Lexington Faux Leather Accent Chair, Cream",K7091-YQ-P0008,0.0,0.0,,,0.0,0.0,,,1.0,0.0,2019-07-03,,,2019,7,27,Accent Chairs
B07BYH2W9W,"HomePop Upholstered Button Tufted Storage Ottoman with Hinged Lid, Grey",K7506-F2185,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Ottomans
B07585WKVP,"HomePop Curved Top Barstool, 29-Inch, Yellow and Cream Demask",K7576.29-A793,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,
B075849CKJ,"HomePop Youth Chaise Lounge with White Wood Legs, Gray Velvet",K5618-B214,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Juvenile
B0757WW6RP,"HomePop Swoop Arm Accent Chair, Grey Trellis",K6499-A769,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2019-07-03,,,2019,7,27,Accent Chairs
B071NTWHWD,"HomePop Large Upholstered Rectangular Storage Ottoman Bench with Hinged Lid, Green Geometric",K6384NP-F2053,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B071NTNKB9,"HomePop Large Rectangular Button Tufted Storage Bench with Hinged Lid, Teal",K7378-F1374,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B071HNQS2G,"HomePop Large Rectangular Button Tufted Storage Bench with Hinged Lid, Grey",K7378-F1424,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B071HNQGQJ,"HomePop Youth Upholstered Swoop Arm Accent Chair, Teal and Cream Medallion",K6465-F2095,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,
B071F2Y9YY,"HomePop Upholstered Storage Ottoman with Hinged Lid, Tan",N7697S-F1563,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Ottomans
B0719BT1FY,"HomePop Youth Upholstered Swoop Arm Accent Chair, Grey Diamond",K6465-B218,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Juvenile
B06ZZS6TPM,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy",K6805-F1570,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2019-07-03,,,2019,7,27,Dining Chairs
B06Y668VHL,"HomePop  Metal Accent Nesting Tables with Glass Top, Set of 2, Gold",K6705A,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Accent tables
B01LZYT4TH,"HomePop Modern Storage Bench with Hinged Lid, Navy",N6302-F1570,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B01LYZKXGO,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Coral",K6805-F1569,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Dining Chairs
B01DGBYYLA,"HomePop Leatherette Square Tufted Backless Counter Height Stool, 24-inch, Cinnamon Red",K4286-E847,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,
B013S1T058,"HomePop Parsons Classic Upholstered Accent Dining Chair,  Single Pack, Textured Brown",K1136-F772,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2019-07-03,,,2019,7,27,Dining Chairs
B012K3DG1O,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Grey",K6211-B214,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B00YLB3SV2,"HomePop Linen Button Tufted Storage Bench with Hinged Lid, Taupe",K6189-F1370,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B00WIO116I,"HomePop Linen Oversized Storage Bench with Nailhead Trim, Grey",K6159-F1332,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B00V8IX4VU,"HomePop Leatherette Button Tufted Bench Pet Bed, Brown",N8085PB-E074,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Pets
B00OCW235W,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Purple",K6211-B204,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B00H1X17EW,"HomePop Youth Upholstered Storage Bench with Hinged Lid, Swirls on Pink",K6407-A500,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Juvenile
B00FAQK8K6,"HomePop  Rectangular Deep Storage Ottoman with Hinged Lid, Tan Linen",K6377-F1326,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Storage Ottomans
B00ELWFJW2,"HomePop Parsons Upholstered Accent Dining Chair, Set of 2, Blue and Brown Damask",N6354-F1331,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2019-07-03,,,2019,7,27,Dining Chairs
B0095BBEBO,"HomePop Parsons Upholstered Accent Dining Chair, Set of 2, Lepord Print",N6354-F354,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,0.0,0.0,2019-07-03,,,2019,7,27,Dining Chairs
B005TX6084,"HomePop Bonded Leather Square Storage Ottoman Coffee Table with Wood Legs, Black",K2380-E169,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2019-07-03,,,2019,7,27,Storage Benches
B005O0KBQY,"HomePop Parsons Leatherette Counter Height Chair 24-inch, Brown Leather",K1401-24-E074,0.0,0.0,,-100.00%,0.0,0.0,,-100.00%,2.0,0.0,2019-07-03,,,2019,7,27,Barstools
B00YSQQ7FE,"HomePop Velvet Swoop Arm Accent Chair, Navy",K6499-B215,15267.05,0.060899999999999996,,,144.0,0.0472,,,0.0,1.0,2019-07-12,,,2019,7,28,Accent Chairs
B00YLB2EEE,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Teal",K6171-B122,13306.82,0.053099999999999994,,191.03%,218.0,0.07150000000000001,,186.84%,0.0,1.0,2019-07-12,,,2019,7,28,Storage Ottomans
B071QXXTV6,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Pewter Grey and Lattice Cream",K6805-F2061,12338.2,0.0492,,,85.0,0.0279,,,2.0,1.0,2019-07-12,,,2019,7,28,Dining Chairs
B06ZZS6WMH,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy and Cream Geometric - K6805-F2051",K6805-F2051,7425.71,0.0296,,"1,191.43%",51.0,0.0167,,"1,175.00%",0.0,1.0,2019-07-12,,,2019,7,28,Dining Chairs
B071XYMXC3,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Grey and Cream Geometric",K6805-F2052,7102.6,0.028300000000000002,,517.62%,67.0,0.022000000000000002,,737.50%,4.0,1.0,2019-07-12,,,2019,7,28,Dining Chairs
B002HWS7Y0,"HomePop Leatherette Tufted Square Storage Ottoman with Hinged Lid, Brown",N5762-E155,5949.65,0.023700000000000002,,239.22%,191.0,0.0626,,241.07%,3.0,0.0,2019-07-12,,,2019,7,28,Storage Ottomans
B00R4ZL4P4,"HomePop Chunky Textured Accent Chair, Teal",K6859-F1550,5909.88,0.0236,,,51.0,0.0167,,,0.0,0.0,2019-07-12,,,2019,7,28,Accent Chairs
B0719BSYWQ,"HomePop Large Upholstered Rectangular Storage Ottoman Bench with Hinged Lid, Slate Damask",K6384NP-A750,5680.41,0.0227,,54.97%,52.0,0.0171,,57.58%,4.0,0.0,2019-07-12,,,2019,7,28,Storage Benches
B06ZYC7SZN,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Teal and Cream Geometric",K6805-F2055,5671.27,0.0226,,"3,845.23%",41.0,0.0134,,"4,000.00%",3.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B01LYZKN7T,"HomePop Parsons Upholstered Accent Dining Chair, Set of 2, Sienna",N6354-A708,4440.0,0.0177,,362.50%,37.0,0.0121,,362.50%,1.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B01DGBYJWE,"HomePop Round Leatherette Storage Ottoman with Lid, Teal",K6862-E843,3898.41,0.0155,,247.53%,64.0,0.021,,255.56%,1.0,2.0,2019-07-12,,,2019,7,28,Storage Ottomans
B07CZDSDC2,"HomePop Faux Leather Button Tufted Decorative Bench with Metal Base,  Brown",K7116-YDQY-2,3080.0,0.0123,,,28.0,0.0092,,,0.0,0.0,2019-07-12,,,2019,7,28,Decorative Benches
B071L7V5BH,"HomePop Leatherette Round Button Tufted Storage Ottoman, Black",K5508-E676,3028.14,0.0121,,,29.0,0.0095,,,2.0,1.0,2019-07-12,,,2019,7,28,Storage Ottomans
B00GKS4S8Q,"HomePop Large Button Tufted Round Storage Ottoman, Tan and Cream Tweed",N8264-F1077,2866.53,0.011399999999999999,,279.05%,47.0,0.0154,,327.27%,0.0,0.0,2019-07-12,,,2019,7,28,Storage Ottomans
B07DPRWV11,"HomePop Faux Fur Square  Stool with Metal Legs, Pink",K7225-B233,2805.75,0.011200000000000002,,,44.0,0.0144,,,1.0,1.0,2019-07-12,,,2019,7,28,Decorative Ottomans
B0758577B5,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Dark Gray",K6171-B229,2800.26,0.011200000000000002,,397.82%,47.0,0.0154,,422.22%,1.0,0.0,2019-07-12,,,2019,7,28,Storage Ottomans
B01DGBYRSA,"HomePop Round Leatherette Storage Ottoman with Lid, Chocolate Brown",K6862-E846,2739.88,0.0109,,781.70%,52.0,0.0171,,940.00%,1.0,0.0,2019-07-12,,,2019,7,28,Storage Ottomans
B071Y7XXRW,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Yellow Damask",K6805-A751,2739.8,0.0109,,8.72%,19.0,0.0062,,5.56%,2.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B07FZQ1Z5D,"HomePop Large Button Tufted Round Storage Ottoman, Dark Gray",N8264-F2111,2625.0,0.0105,,,35.0,0.0115,,,2.0,0.0,2019-07-12,,,2019,7,28,Storage Ottomans
B01LZ0XK5R,"HomePop  Swoop Arm Accent Chair, Grey Floral Tree",K6499-F1598,2379.3,0.0095,,"2,063.00%",21.0,0.0069,,"2,000.00%",0.0,0.0,2019-07-12,,,2019,7,28,Accent Chairs
B07FZN5N9H,"HomePop Large Button Tufted Round Storage Ottoman, Light Tan",N8264-F2207,2325.0,0.009300000000000001,,,30.0,0.0098,,,1.0,1.0,2019-07-12,,,2019,7,28,Storage Ottomans
B071VLNKY1,"HomePop Square Upholstered Storage Ottoman with Removable Top, Suzani",K5420-F1423,2275.9,0.0091,,607.72%,49.0,0.0161,,600.00%,3.0,0.0,2019-07-12,,,2019,7,28,Storage Ottomans
B00J8VMV9A,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Purple",K6171-B204,2259.22,0.009000000000000001,,213.78%,43.0,0.0141,,258.33%,0.0,0.0,2019-07-12,,,2019,7,28,Storage Ottomans
B01DGBYJU6,"HomePop Round Leatherette Storage Ottoman with Lid, Moss Green",K6862-E845,2240.35,0.0089,,-52.57%,35.0,0.0115,,-53.33%,0.0,0.0,2019-07-12,,,2019,7,28,Storage Ottomans
B071CFR7JW,"HomePop Parsons Leatherette Counter Height Chair 24-Inch, Black Leather",K1401-24-E073,2053.49,0.008199999999999999,,895.63%,29.0,0.0095,,866.67%,0.0,0.0,2019-07-12,,,2019,7,28,Barstools
B06ZZS6TPM,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy",K6805-F1570,2030.78,0.008100000000000001,,,17.0,0.005600000000000001,,,1.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B00XQ9MLZY,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Deep Navy",K6211-B122,2018.8,0.008100000000000001,,,13.0,0.0043,,,1.0,1.0,2019-07-12,,,2019,7,28,Storage Benches
B07582BBTW,"HomePop Faux Fur Square  Stool with Metal Legs, White",K7225-B227,2000.0,0.008,,-54.29%,32.0,0.0105,,-54.29%,3.0,0.0,2019-07-12,,,2019,7,28,Decorative Ottomans
B06ZYC7SZR,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy and Floral",K6805-F2059,1960.0,0.0078000000000000005,,,14.0,0.0046,,,0.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B005TX6020,"HomePop Faux Leather Square Storage Ottoman Coffee Table with Wood Legs, Brown",K2380-E155,1957.0,0.0078000000000000005,,160.93%,38.0,0.0125,,153.33%,1.0,0.0,2019-07-12,,,2019,7,28,Storage Benches
B005TX6084,"HomePop Faux Leather Square Storage Ottoman Coffee Table with Wood Legs, Black",K2380-E169,1950.0,0.0078000000000000005,,178.57%,39.0,0.0128,,178.57%,2.0,0.0,2019-07-12,,,2019,7,28,Storage Benches
B00OCXLIJ8,"HomePop Parsons Upholstered Accent Dining Chair, Set of 2, Orange Suzani",N6354-F1423,1877.37,0.0075,,-27.44%,13.0,0.0043,,-27.78%,0.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B071R7FRT6,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy Blue and Lattice Cream",K6805-F2062,1874.6,0.0075,,346.33%,12.0,0.0039000000000000003,,300.00%,0.0,1.0,2019-07-12,,,2019,7,28,Dining Chairs
B071R7FQ8Z,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Colorful Paisley",K6805-A727,1874.6,0.0075,,123.17%,13.0,0.0043,,116.67%,4.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B01M0AH496,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy Velvet",K6805-B215,1854.0,0.0074,,-14.17%,15.0,0.0049,,-16.67%,0.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B07FZPQ2KY,"HomePop Large Button Tufted Round Storage Ottoman, Brown Faux Leather",N8264-E697,1800.0,0.0072,,,23.0,0.0075,,,1.0,1.0,2019-07-12,,,2019,7,28,Storage Ottomans
B07223PM9F,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Green and Cream Geometric",K6805-F2053,1786.4,0.0070999999999999995,,77.53%,16.0,0.0052,,128.57%,1.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B07583RPSL,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Taupe and Cream Medallion",K6805-A793,1776.72,0.0070999999999999995,,,12.0,0.0039000000000000003,,,0.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B00R56NL76,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Navy",K6171-B215,1732.46,0.0069,,-30.53%,28.0,0.0092,,-34.88%,1.0,1.0,2019-07-12,,,2019,7,28,Storage Ottomans
B07BYZKL4P,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Green",K6171-B228,1627.5,0.006500000000000001,,"2,452.94%",34.0,0.011200000000000002,,"3,300.00%",2.0,1.0,2019-07-12,,,2019,7,28,Storage Ottomans
B00I7I0UKM,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Teal",K6211-B122,1586.2,0.0063,,-58.04%,11.0,0.0036,,-59.26%,2.0,0.0,2019-07-12,,,2019,7,28,Storage Benches
B071XPKWTQ,"HomePop Velvet Swoop Arm Accent Chair, Teal",K6499-B122,1567.68,0.0063,,86.63%,16.0,0.0052,,128.57%,0.0,0.0,2019-07-12,,,2019,7,28,Accent Chairs
B00R56SHOI,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Gray",K6171-B214,1556.51,0.0062,,126.40%,31.0,0.0102,,181.82%,1.0,0.0,2019-07-12,,,2019,7,28,Storage Ottomans
B07585JGRF,"HomePop Upholstered Counter Height Barstool, 24-inch, Navy and Cream Geometric",K6858.24-F2051,1548.8,0.0062,,,20.0,0.0066,,,0.0,0.0,2019-07-12,,,2019,7,28,Barstools
B00R4ZKFMC,"HomePop Chunky Textured Accent Chair, Blue",K6859-F1570,1539.85,0.0060999999999999995,,-76.51%,13.0,0.0043,,-77.19%,0.0,0.0,2019-07-12,,,2019,7,28,Accent Chairs
B00ZPQKO8C,"HomePop Leatherette Tufted Square Storage Ottoman with Hinged Lid, Red",N5762-E607,1514.24,0.006,,121.87%,27.0,0.0089,,107.69%,1.0,1.0,2019-07-12,,,2019,7,28,Storage Ottomans
B071XZ2VQ6,"HomePop Parsons Classic Upholstered Accent Dining Chair,  Single Pack, Brown Sage Leaf",K1136-F975,1448.78,0.0058,,"1,059.02%",23.0,0.0075,,"1,050.00%",0.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B0095BBEJ6,"HomePop Parsons Classic Upholstered Accent Dining Chair with Nailheads, Set of 2, Burlap",K5506-F1211,1402.44,0.005600000000000001,,"1,109.00%",12.0,0.0039000000000000003,,"1,100.00%",0.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B07585JGRY,"HomePop Faux Fur Decorative Square Ottoman with Metal Hairpin Legs, Grey",K7573-B234,1390.56,0.0055000000000000005,,-22.75%,24.0,0.0079,,-25.00%,0.0,0.0,2019-07-12,,,2019,7,28,Decorative Ottomans
B06ZZ753T1,"HomePop Velvet Swoop Arm Accent Chair, Tan",K6499-B117,1371.72,0.0055000000000000005,,,14.0,0.0046,,,0.0,0.0,2019-07-12,,,2019,7,28,Accent Chairs
B07BQKW7PD,"HomePop Parsons Classic Upholstered Accent Dining Chair with Curved Top, Set of 2, Suri Brown",K7575-A793,1359.6,0.0054,,,11.0,0.0036,,,0.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B01M180BA6,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy",K6805-F1565,1359.6,0.0054,,"1,033.00%",11.0,0.0036,,"1,000.00%",0.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B07BQFYH48,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Blue Jacobean",K6805-A794,1359.27,0.0054,,,9.0,0.003,,,0.0,0.0,2019-07-12,,,2019,7,28,Dining Chairs
B01DGBYQ0E,"HomePop Round Leatherette Storage Ottoman with Lid, Ivory",K6862-E848,1342.35,0.0054,,96.35%,21.0,0.0069,,90.91%,0.0,0.0,2019-07-12,,,2019,7,28,Storage Ottomans
