ASIN,Product Title,Model/StyleNumber,Total Sales,Shipped COGS - % of Total,Shipped COGS - Prior Period,Shipped COGS - Last Year,Total Qty,Shipped Units - % of Total,Shipped Units - Prior Period,Shipped Units - Last Year,Customer Returns,Free Replacements,Date,Drop Ship Qty,Drop Ship Sales,Year,Month,Week,Category
B07BW1GD1L,"HomePop Blake Backless Counter Barstools, 24-inch, Dark Grey",K7446-F2182,2603.7,0.009399999999999999,,48.51%,33.0,0.011000000000000001,,32.00%,0.0,0.0,2020-01-17,,,2020,1,3,Barstools
B071NV53MH,"HomePop Large Upholstered Rectangular Storage Ottoman Bench with Hinged Lid, Navy Geometric",K6384NP-F2051,2458.63,0.0089,,32.32%,22.0,0.0074,,22.22%,0.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B01DGBYJWE,"HomePop Round Leatherette Storage Ottoman with Lid, Teal",K6862-E843,2457.54,0.0089,,1.52%,37.0,0.0124,,-9.76%,3.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B071VLNKY1,"HomePop Square Upholstered Storage Ottoman with Removable Top, Suzani",K5420-F1423,2377.28,0.0086,,269.62%,46.0,0.0154,,228.57%,2.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B071Y73ZHP,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Shades Blue",K6805-F2063,2362.5,0.0086,,237.50%,15.0,0.005,,200.00%,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B00IX5K8LU,"HomePop Large Button Tufted Round Storage Ottoman, Brown and Teal Pasley",N8264-F1044,2126.25,0.0077,,1.25%,27.0,0.009000000000000001,,-6.90%,3.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B07BYHB8TR,"HomePop Upholstered Counter Height Barstool, 24-inch, Blue and Tan Jacobean",K6858.24-A794,1962.18,0.0070999999999999995,,-7.96%,18.0,0.006,,-18.18%,0.0,0.0,2020-01-17,,,2020,1,3,Barstools
B075858J28,"HomePop Geometric Shape Metal Accent Table, Gold",K7243,1875.51,0.0068000000000000005,,174.20%,39.0,0.013000000000000001,,143.75%,4.0,0.0,2020-01-17,,,2020,1,3,Accent tables
B071Y7Q1YD,"HomePop Parsons Classic Upholstered Accent Dining Chair, Single Pack, Dark Blue",K6805-F2088,1828.06,0.0066,,317.84%,25.0,0.0084,,257.14%,0.0,1.0,2020-01-17,,,2020,1,3,Dining Chairs
B072VM5YMB,"HomePop Parsons Upholstered Accent Dining Chair, Set of 2, Blue and Brown Paisley",N6354-F827,1827.0,0.0066,,-37.00%,14.0,0.004699999999999999,,-41.67%,1.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B01DGBYJQU,"HomePop Round Leatherette Storage Ottoman with Lid, Charcoal Grey",K6862-E844,1748.0,0.0063,,75.78%,24.0,0.008,,50.00%,0.0,1.0,2020-01-17,,,2020,1,3,Storage Ottomans
B00YLB2EEE,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Teal",K6171-B122,1736.8,0.0063,,631.22%,26.0,0.0087,,550.00%,0.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B071R7FRT6,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy Blue and Lattice Cream",K6805-F2062,1732.5,0.0063,,209.38%,9.0,0.003,,125.00%,0.0,2.0,2020-01-17,,,2020,1,3,Dining Chairs
B00R4ZKFMC,"HomePop Chunky Textured Accent Chair, Blue",K6859-F1570,1681.94,0.0060999999999999995,,46.26%,13.0,0.0043,,30.00%,0.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B06ZYMSB6T,"HomePop Parsons Classic Upholstered Accent Dining Chair, Single Pack, Grey",K6805-F2070,1648.72,0.006,,,24.0,0.008,,,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
